iter	Passed	Remaining
0	228	228743
1	468	233955
2	679	225723
3	883	219930
4	1067	212392
5	1293	214216
6	1510	214249
7	1696	210345
8	1937	213334
9	2182	216096
10	2379	213964
11	2636	217093
12	2927	222282
13	3229	227436
14	3494	229468
15	3729	229375
16	3989	230662
17	4204	229404
18	4455	230019
19	4731	231835
20	4961	231280
21	5217	231953
22	5481	232834
23	5741	233486
24	5943	231798
25	6170	231142
26	6387	230174
27	6611	229506
28	6891	230731
29	7168	231775
30	7430	232258
31	7615	230365
32	7879	230891
33	8153	231667
34	8369	230769
35	8608	230516
36	8870	230866
37	9053	229194
38	9269	228412
39	9495	227881
40	9720	227361
41	9986	227789
42	10204	227105
43	10436	226766
44	10684	226740
45	10910	226265
46	11161	226314
47	11394	225986
48	11624	225607
49	11881	225755
50	12129	225709
51	12382	225743
52	12648	226005
53	12902	226025
54	13155	226035
55	13371	225399
56	13641	225678
57	13863	225170
58	14127	225324
59	14308	224161
60	14547	223929
61	14739	222995
62	14959	222485
63	15213	222499
64	15455	222317
65	15736	222691
66	15955	222183
67	16225	222387
68	16504	222690
69	16684	221667
70	16962	221943
71	17215	221883
72	17492	222128
73	17763	222289
74	17951	221399
75	18178	221013
76	18427	220891
77	18699	221039
78	18878	220087
79	19119	219872
80	19377	219847
81	19595	219375
82	19864	219462
83	20115	219358
84	20326	218806
85	20592	218855
86	20898	219309
87	21136	219050
88	21405	219102
89	21642	218826
90	21888	218644
91	22199	219097
92	22461	219064
93	22729	219075
94	23052	219604
95	23331	219708
96	23541	219150
97	23793	218999
98	23982	218265
99	24267	218408
100	24541	218446
101	24763	218018
102	25026	217949
103	25305	218018
104	25544	217737
105	25779	217421
106	26069	217569
107	26297	217196
108	26509	216698
109	26795	216803
110	27020	216407
111	27233	215924
112	27498	215851
113	27738	215584
114	27994	215437
115	28238	215193
116	28475	214901
117	28759	214964
118	29035	214961
119	29290	214796
120	29524	214477
121	29807	214518
122	30064	214359
123	30322	214211
124	30558	213907
125	30776	213480
126	31060	213511
127	31320	213373
128	31509	212752
129	31763	212568
130	31987	212189
131	32199	211734
132	32430	211404
133	32710	211396
134	32958	211178
135	33212	210994
136	33443	210666
137	33700	210503
138	34023	210746
139	34218	210199
140	34470	210003
141	34675	209516
142	34933	209358
143	35180	209127
144	35440	208979
145	35686	208743
146	35961	208672
147	36225	208542
148	36461	208246
149	36679	207851
150	36872	207316
151	37134	207171
152	37393	207007
153	37638	206766
154	37864	206421
155	38061	205920
156	38235	205300
157	38493	205135
158	38702	204706
159	38963	204559
160	39183	204194
161	39408	203854
162	39638	203543
163	39865	203215
164	40071	202785
165	40288	202414
166	40535	202191
167	40782	201971
168	40992	201569
169	41220	201254
170	41437	200885
171	41669	200595
172	41937	200473
173	42135	200023
174	42359	199695
175	42582	199362
176	42777	198901
177	42999	198570
178	43236	198310
179	43516	198243
